key,code,instantiation-moment,provider-name,customer-name,goals,budget,draft-mode,key:project,key:client
contract-01,CON-001,2022/07/03 12:30,Provider1,Customer1,Project goals 1,"USD 1,000,000.00",false,project-01,client-01
contract-02,CON-002,2022/07/03 12:30,Provider2,Customer2,Project goals 2,"USD 1,000,000.00",true,project-02,client-02
#code
contract-03,A-001,2022/07/03 12:30,Provider1,Customer1,Project goals 1,"USD 1,000,000.00",true,project-07,client-01
contract-04,ZZZ-999,2022/07/03 12:30,Provider1,Customer1,Project goals 1,"USD 1,000,000.00",true,project-08,client-02
contract-05,ZXY-001,2022/07/03 12:30,Provider1,Customer1,Project goals 1,"USD 1,000,000.00",true,project-09,client-02
contract-06,HF-001,2022/07/03 12:30,Provider1,Customer1,Project goals 1,"USD 1,000,000.00",true,project-10,client-01
contract-07,AZ-100,2022/07/03 12:30,Provider1,Customer1,Project goals 1,"USD 1,000,000.00",true,project-11,client-01
#moment
contract-08,CON-003,2000/01/01 00:00,Provider1,Customer1,Project goals 1,"USD 1,000,000.00",false,project-01,client-01
contract-09,CON-005,2000/01/01 00:01,Provider1,Customer2,Project goals 2,"USD 1,000,000.00",false,project-03,client-02
contract-10,CON-006,2022/07/30 00:00,Provider1,Customer2,Project goals 2,"USD 1,000,000.00",false,project-04,client-02
contract-11,CON-007,2022/06/29 23:59,Provider1,Customer2,Project goals 2,"USD 1,000,000.00",false,project-05,client-02
contract-12,CON-008,2020/02/28 00:00,Provider1,Customer2,Project goals 2,"USD 1,000,000.00",false,project-05,client-02
#provider-name
contract-13,CON-009,2022/07/03 12:30,Pr@v1der!124434,Customer1,Project goals 1,"USD 1,000,000.00",false,project-06,client-01
contract-14,CON-010,2022/07/03 12:30,P1,Customer2,Project goals 2,"USD 1,000,000.00",false,project-06,client-02
contract-15,CON-011,2022/07/03 12:30,P,Customer1,Project goals 1,"USD 1,000,000.00",false,project-06,client-01
contract-16,CON-012,2022/07/03 12:30,Próv!d3r12,Customer2,Project goals 2,"USD 1,000,000.00",false,project-07,client-02
contract-17,CON-013,2022/07/03 12:30,Provider1Provider1Provider1Provider1Provider1Provider1Provider1Provider1Pro,Customer1,Project goals 1,"USD 1,000,000.00",false,project-08,client-01
contract-18,CON-014,2022/07/03 12:30,貸んい建濯よ芝弾テソ,Customer2,Project goals 2,"USD 1,000,000.00",false,project-09,client-02
contract-19,CON-015,2022/07/03 12:30,'Or 'A' = 'A,Customer1,Project goals 1,"USD 1,000,000.00",false,project-10,client-01
contract-20,CON-016,2022/07/03 12:30,<h1>hola</h1>,Customer2,Project goals 2,"USD 1,000,000.00",false,project-11,client-02
